table_id,num_classes,feature_column,global_node_id,layer,node_in_layer,feature_type,cardinality,observation_type,gt_importance,single_feature_balanced_accuracy,permutation_importance,drop_column_importance
0,2,0,5,0,5,categorical,3,prototype_discretization,0.19883214615030484,0.7169076751946608,0.03915461624026688,-0.017241379310344973
0,2,1,31,3,8,continuous,0,continuous_scalar,0.2594757843861035,0.5984427141268076,0.08331479421579527,0.01724137931034475
0,2,2,0,0,0,continuous,0,continuous_scalar,0.06409190200811608,0.596218020022247,0.029032258064516103,0.01724137931034475
0,2,3,12,1,4,continuous,0,continuous_scalar,0.014191586234121365,0.4510567296996663,0.0032258064516129,0.0
0,2,4,19,2,2,continuous,0,continuous_scalar,0.29228048857135736,0.8526140155728588,0.2370411568409343,0.032258064516129004
0,2,5,21,2,4,continuous,0,continuous_scalar,0.04381334497388761,0.5984427141268076,-0.030812013348164725,0.0011123470522802492
0,2,6,14,1,6,categorical,3,threshold_binning,0.05533599382646686,0.4416017797552837,-0.0032258064516129,-0.016129032258064502
0,2,7,22,2,5,continuous,0,continuous_scalar,0.07197875384964238,0.6190211345939933,0.013125695216907651,0.0011123470522802492
1,4,0,2,0,2,categorical,2,prototype_discretization,0.08898234676757708,0.340625,-0.0012362637362636653,-0.025595238095238004
1,4,1,26,2,8,categorical,2,prototype_discretization,0.09954259741014293,0.5,0.26472069597069614,0.032097069597069705
1,4,2,28,3,1,continuous,0,continuous_scalar,0.178101884783222,0.6645947802197802,0.33307234432234445,0.28455815018315034
1,4,3,34,3,7,continuous,0,continuous_scalar,0.10293181835431586,0.3511790293040293,0.03611263736263748,0.0
1,4,4,16,1,8,continuous,0,continuous_scalar,0.1550830813589789,0.2768543956043956,0.027206959706959834,0.0448260073260075
1,4,5,15,1,7,continuous,0,continuous_scalar,0.0279354785188784,0.1786057692307692,-0.008177655677655559,0.007738095238095322
1,4,6,21,2,3,continuous,0,continuous_scalar,0.08355095955560092,0.30412087912087915,-0.01656364468864462,0.0013736263736264798
1,4,7,7,0,7,categorical,2,prototype_discretization,0.0071707442142888555,0.234375,0.003333333333333366,0.008928571428571619
1,4,8,23,2,5,continuous,0,continuous_scalar,0.11587091783974202,0.3042696886446886,0.02453067765567778,0.01666666666666683
1,4,9,10,1,2,continuous,0,continuous_scalar,1.2102660927698557e-05,0.2536401098901099,-0.02071428571428564,-0.006364468864468731
1,4,10,30,3,3,categorical,4,threshold_binning,0.07148899963632946,0.30842490842490844,-0.005567765567765481,-0.02303113553113545
1,4,11,12,1,4,continuous,0,continuous_scalar,0.0020412367894846522,0.20107600732600733,-0.030714285714285604,-0.04999999999999982
1,4,12,35,3,8,continuous,0,continuous_scalar,0.06728783211051122,0.2991758241758242,0.016048534798534873,-0.00788690476190479
2,3,0,30,3,5,continuous,0,continuous_scalar,0.08088085620587152,0.412004662004662,0.008205128205128176,-0.015151515151515138
2,3,1,3,0,3,continuous,0,continuous_scalar,0.085298276641491,0.24883449883449882,-0.020606060606060607,0.0
2,3,2,12,1,4,continuous,0,continuous_scalar,0.06256134005116264,0.4433566433566434,0.010303030303030258,-0.015151515151515138
2,3,3,2,0,2,categorical,4,threshold_binning,0.07106845346055739,0.5833333333333334,-0.006060606060606055,0.0
2,3,4,29,3,4,continuous,0,continuous_scalar,0.05637790289474397,0.2942890442890443,-0.0030303030303030277,0.0
2,3,5,21,2,6,categorical,2,threshold_binning,0.0327452392279477,0.34848484848484845,0.013333333333333286,0.0
2,3,6,33,3,8,categorical,2,threshold_binning,0.08055818381167625,0.6666666666666666,0.022121212121212076,0.031818181818181746
2,3,7,18,2,3,continuous,0,continuous_scalar,0.10954413773134573,0.6472027972027972,0.07925407925407935,0.020512820512820662
2,3,8,27,3,2,continuous,0,continuous_scalar,0.05424596109801633,0.4389277389277389,0.020303030303030312,0.016666666666666607
2,3,9,13,1,5,categorical,4,prototype_discretization,0.040047523818085885,0.25710955710955713,0.0030303030303030277,0.015151515151515138
2,3,10,9,1,1,continuous,0,continuous_scalar,0.1204545268034671,0.675990675990676,-0.0037529137529137557,0.01899766899766897
2,3,11,16,2,1,continuous,0,continuous_scalar,0.0634990230582293,0.3531468531468532,-0.0014918414918414947,-0.015151515151515138
2,3,12,26,3,1,continuous,0,continuous_scalar,0.07255092649871701,0.6659673659673659,0.040326340326340415,0.002331002331002363
2,3,13,17,2,2,continuous,0,continuous_scalar,0.07016764869868819,0.30011655011655014,0.021212121212121283,0.016666666666666607
3,2,0,21,2,5,categorical,5,prototype_discretization,0.07519218305895792,0.8679337231968811,0.04863547758284601,0.013157894736842146
3,2,1,13,1,5,continuous,0,continuous_scalar,0.2034321819925262,0.8386939571150098,0.023781676413255327,0.013157894736842146
3,2,2,22,2,6,continuous,0,continuous_scalar,0.20888770133831314,0.8045808966861598,0.04278752436647175,0.0
3,2,3,8,1,0,categorical,3,threshold_binning,0.10226261006223919,0.8016569200779727,0.0026315789473684292,0.0
3,2,4,24,3,0,continuous,0,continuous_scalar,0.1122900858929508,0.8338206627680311,0.05916179337231973,0.06335282651072127
3,2,5,23,2,7,continuous,0,continuous_scalar,0.0019004983438741796,0.5009746588693957,0.0037037037037036978,0.0
3,2,6,7,0,7,continuous,0,continuous_scalar,0.0067308083181275786,0.46686159844054576,0.0074074074074073955,0.0
3,2,7,1,0,1,continuous,0,continuous_scalar,0.03966373536765616,0.6223196881091618,0.08138401559454193,0.01851851851851849
3,2,8,0,0,0,continuous,0,continuous_scalar,0.0029634106977173163,0.46686159844054576,0.0,0.01851851851851849
3,2,9,17,2,1,categorical,3,prototype_discretization,0.03470545405413961,0.7071150097465887,0.08820662768031187,0.01851851851851849
3,2,10,3,0,3,continuous,0,continuous_scalar,0.20763108924896184,0.854775828460039,0.050194931773879195,0.031676413255360636
3,2,11,15,1,7,continuous,0,continuous_scalar,0.0008089649803277175,0.45614035087719296,0.011111111111111094,0.0
3,2,12,16,2,0,continuous,0,continuous_scalar,0.00353127664420837,0.6067251461988304,0.014814814814814791,0.0
4,3,0,22,2,7,continuous,0,continuous_scalar,0.03165771662808957,0.3190476190476191,-0.013238095238095226,-0.015238095238095162
4,3,1,16,2,1,continuous,0,continuous_scalar,0.05880418063271447,0.38095238095238093,-0.005809523809523776,-0.0014285714285713347
4,3,2,21,2,6,continuous,0,continuous_scalar,0.12497846686893806,0.4042857142857143,0.045428571428571485,0.04190476190476189
4,3,3,23,2,8,continuous,0,continuous_scalar,0.1294262764969528,0.2880952380952381,0.03619047619047626,0.026666666666666616
4,3,4,18,2,3,continuous,0,continuous_scalar,0.02453849018526583,0.29095238095238096,-0.005619047619047568,0.0
4,3,5,20,2,5,continuous,0,continuous_scalar,0.16669107040131326,0.4804761904761905,0.3458095238095239,0.31809523809523815
4,3,6,30,3,6,categorical,2,threshold_binning,0.05086690198068025,0.3857142857142857,0.001523809523809505,0.0014285714285714457
4,3,7,17,2,2,continuous,0,continuous_scalar,0.1516323107702837,0.3942857142857143,0.1806666666666667,0.1561904761904762
4,3,8,7,0,7,categorical,3,prototype_discretization,0.10569912072986613,0.310952380952381,-0.0071428571428571175,-0.015238095238095162
4,3,9,0,0,0,continuous,0,continuous_scalar,0.006986337571626719,0.29571428571428576,0.020952380952380924,-0.011904761904761862
4,3,10,10,1,2,continuous,0,continuous_scalar,0.1487191277342692,0.43,0.050285714285714336,0.04190476190476189
5,4,0,1,0,1,continuous,0,continuous_scalar,0.0016921172735953947,0.27002078005115093,0.003125,0.026494565217391353
5,4,1,4,0,4,categorical,3,threshold_binning,0.025139781911137186,0.22058823529411764,0.0,0.014705882352941124
5,4,2,2,0,2,continuous,0,continuous_scalar,0.0037517159074087567,0.30646579283887465,-0.003125,0.03125
5,4,3,19,2,3,categorical,2,threshold_binning,0.014701406742199505,0.1479779411764706,0.0,0.03125
5,4,4,8,1,0,continuous,0,continuous_scalar,0.07811402061173241,0.23968989769820973,0.00625,0.015625
5,4,5,23,3,1,categorical,2,prototype_discretization,0.0,0.25,0.0,0.015625
5,4,6,12,1,4,categorical,3,prototype_discretization,0.0032569616358151103,0.2113970588235294,0.0,0.015625
5,4,7,13,1,5,continuous,0,continuous_scalar,0.028161456013040546,0.19876918158567775,0.009375,0.015625
5,4,8,0,0,0,continuous,0,continuous_scalar,0.06284404716952702,0.37891624040920713,0.015625,0.015625
5,4,9,22,3,0,continuous,0,continuous_scalar,0.7670219487390509,0.9587995524296675,0.6701806265984653,0.7494405370843988
5,4,10,15,1,7,continuous,0,continuous_scalar,0.01531654399649316,0.23249680306905374,0.015625,0.015625
6,2,0,19,2,2,continuous,0,continuous_scalar,0.09596894694175218,0.615953947368421,0.12927631578947368,-0.010690789473684181
6,2,1,5,0,5,categorical,2,prototype_discretization,0.05834860941807546,0.571546052631579,0.0,0.0
6,2,2,18,2,1,continuous,0,continuous_scalar,0.08453775318957714,0.544407894736842,-0.007894736842105265,-0.013157894736842146
6,2,3,0,0,0,continuous,0,continuous_scalar,0.08378505241644608,0.4819078947368421,0.016776315789473695,-0.013157894736842146
6,2,4,15,1,7,continuous,0,continuous_scalar,0.08477520106820108,0.606907894736842,-0.000657894736842124,0.0
6,2,5,28,3,3,categorical,2,threshold_binning,0.05176848482829411,0.5542763157894737,0.02927631578947367,-0.010690789473684181
6,2,6,17,2,0,categorical,2,prototype_discretization,0.015469909334485011,0.48355263157894735,0.0026315789473684292,-0.013157894736842146
6,2,7,8,1,0,categorical,2,prototype_discretization,0.018798947289475856,0.45723684210526316,0.007894736842105288,-0.013157894736842146
6,2,8,13,1,5,categorical,4,prototype_discretization,0.08561205076583017,0.696546052631579,0.022861842105263163,0.013157894736842146
6,2,9,27,3,2,continuous,0,continuous_scalar,0.09325446550633133,0.6595394736842105,0.04029605263157894,0.002467105263157854
6,2,10,22,2,5,continuous,0,continuous_scalar,0.09048109644303597,0.678453947368421,0.054934210526315794,-0.013157894736842146
6,2,11,12,1,4,continuous,0,continuous_scalar,0.08437075025902091,0.5180921052631579,0.0026315789473684292,-0.013157894736842146
6,2,12,2,0,2,continuous,0,continuous_scalar,0.07453792904227116,0.4901315789473684,0.003125,-0.02631578947368418
6,2,13,24,2,7,continuous,0,continuous_scalar,0.07829080349720355,0.59375,0.08782894736842106,0.052631578947368474
7,4,0,20,2,5,continuous,0,continuous_scalar,0.1782751766642728,0.6663292847503374,0.098378317588844,0.026315789473684292
7,4,1,16,2,1,continuous,0,continuous_scalar,0.04746122519417161,0.31450742240215923,0.006666666666666732,0.013157894736842257
7,4,2,7,0,7,continuous,0,continuous_scalar,0.02306418316831699,0.182242465137202,0.0,0.0
7,4,3,11,1,3,continuous,0,continuous_scalar,0.18019078087507484,0.5453553756185335,0.0710256410256411,0.0
7,4,4,3,0,3,categorical,4,threshold_binning,0.016639767657656252,0.18547008547008548,0.0,0.0
7,4,5,8,1,0,categorical,2,threshold_binning,0.02371500253547111,0.20242914979757087,0.0,0.0
7,4,6,18,2,3,continuous,0,continuous_scalar,0.02555991294130916,0.2568151147098516,0.0,0.0
7,4,7,6,0,6,continuous,0,continuous_scalar,0.1733741980511311,0.6106500224921277,0.04677687809266766,-0.009581646423751589
7,4,8,9,1,1,continuous,0,continuous_scalar,0.04053549684537249,0.22451641925326138,0.027564102564102667,0.002564102564102666
7,4,9,27,3,5,continuous,0,continuous_scalar,0.14304823628105606,0.27430274403958615,0.26141700404858315,0.17127755285650037
7,4,10,22,3,0,categorical,3,threshold_binning,0.10828067261284946,0.6036324786324787,0.0907692307692309,0.0358974358974361
7,4,11,2,0,2,continuous,0,continuous_scalar,0.0398553471733181,0.24299370220422853,0.020000000000000108,0.01666666666666683
8,3,0,6,0,6,continuous,0,continuous_scalar,0.1636219432771717,0.5328502415458937,0.12180354267310782,0.08268921095008042
8,3,1,18,2,3,categorical,3,prototype_discretization,0.013713030463874003,0.3365539452495974,0.011916264090177053,-0.01449275362318847
8,3,2,27,3,2,categorical,3,prototype_discretization,0.06214782322754101,0.5603864734299516,0.07167471819645728,0.05152979066022534
8,3,3,12,1,4,continuous,0,continuous_scalar,0.06538612806602215,0.38293075684380035,-0.006231884057971015,-0.01046698872785834
8,3,4,10,1,2,continuous,0,continuous_scalar,0.04079585966562202,0.3211755233494364,-0.002898550724637694,-0.01449275362318847
8,3,5,26,3,1,continuous,0,continuous_scalar,0.0918382333791256,0.306682769726248,0.029790660225442724,0.0
8,3,6,11,1,3,categorical,2,prototype_discretization,0.01066530050704873,0.30998389694041867,0.0,0.01851851851851838
8,3,7,5,0,5,categorical,3,prototype_discretization,0.012229510497060135,0.34863123993558776,-0.008695652173913082,-0.027133655394524947
8,3,8,15,2,0,continuous,0,continuous_scalar,0.17765066310861458,0.7596618357487923,0.2146698872785829,0.03671497584541061
8,3,9,24,2,9,continuous,0,continuous_scalar,0.17955103086559485,0.503864734299517,0.040676328502415406,0.02254428341384851
