table_id,num_classes,feature_column,global_node_id,layer,node_in_layer,feature_type,cardinality,observation_type,gt_importance,single_feature_balanced_accuracy,permutation_importance,drop_column_importance
0,2,0,17,2,0,continuous,0,continuous_scalar,0.28213989776933707,0.6597222222222222,0.09444444444444451,0.0
0,2,1,19,2,2,categorical,3,prototype_discretization,0.007691556952935475,0.4375,0.002777777777777812,0.02083333333333337
0,2,2,12,1,4,categorical,3,threshold_binning,0.02337146049050566,0.5763888888888888,0.006944444444444442,0.0
0,2,3,1,0,1,continuous,0,continuous_scalar,0.004557044527165288,0.4722222222222222,-0.027777777777777724,-0.05555555555555558
0,2,4,2,0,2,continuous,0,continuous_scalar,0.0013652503229665983,0.5277777777777778,-0.019444444444444375,-0.05555555555555558
0,2,5,22,2,5,categorical,6,prototype_discretization,0.11293623548664188,0.5486111111111112,-0.036111111111111024,-0.03472222222222221
0,2,6,18,2,1,continuous,0,continuous_scalar,0.43593716149276396,0.6666666666666666,0.10972222222222225,0.125
0,2,7,21,2,4,continuous,0,continuous_scalar,0.1320013929576841,0.5347222222222222,-0.020833333333333304,-0.00694444444444442
1,4,0,2,0,2,continuous,0,continuous_scalar,0.00016252005900335313,0.16384237107921318,0.04817251461988301,-0.01388888888888884
1,4,1,32,3,5,continuous,0,continuous_scalar,0.021100230604625004,0.419158692185008,0.03896198830409361,-0.01388888888888884
1,4,2,5,0,5,continuous,0,continuous_scalar,0.05772274113866973,0.2907695374800638,0.029445773524720907,0.033991228070175405
1,4,3,27,3,0,continuous,0,continuous_scalar,0.07268197834359724,0.4022129186602871,0.21454013822434875,0.2046783625730994
1,4,4,19,2,1,continuous,0,continuous_scalar,0.002352899303760776,0.21215443912812335,0.040344231791600224,0.006213450292397615
1,4,5,1,0,1,continuous,0,continuous_scalar,0.002836818406280222,0.2707668793195109,0.042537214247740575,0.04714912280701755
1,4,6,35,3,8,continuous,0,continuous_scalar,0.2914096457521527,0.3167530568846358,0.044304891015417326,0.033991228070175405
1,4,7,9,1,1,categorical,2,prototype_discretization,0.004708417210858759,0.2537878787878788,0.016812865497076057,0.020102339181286566
1,4,8,4,0,4,continuous,0,continuous_scalar,0.008236593924499467,0.2659157363104731,0.024475013290802795,0.01388888888888895
1,4,9,13,1,5,continuous,0,continuous_scalar,0.17161366291671473,0.2732921318447634,0.05396065922381713,-0.019039074960127578
1,4,10,24,2,6,continuous,0,continuous_scalar,0.25072700501244316,0.3185473152578416,0.033193779904306255,0.022627591706539052
