table_id,num_classes,model,train_accuracy,train_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auc,test_logloss
0,2,dummy,0.5102639296187683,0.5,0.5166666666666667,0.5,0.34065934065934067,0.5,0.6926735633545785
0,2,logistic,0.9442815249266863,0.9441978112740037,0.9333333333333333,0.9343715239154616,0.9333333333333333,0.9877641824249166,0.18145803284018416
0,2,random_forest,1.0,1.0,0.85,0.850389321468298,0.8499583217560434,0.9488320355951056,0.29337629662921777
0,2,extra_trees,0.9853372434017595,0.9852708376350747,0.85,0.8515016685205784,0.8499583217560434,0.9577308120133481,0.32865990250324223
1,4,dummy,0.38235294117647056,0.25,0.3888888888888889,0.25,0.14,0.5,1.3376483728719613
1,4,logistic,0.6862745098039216,0.7373728362873588,0.6527777777777778,0.6891025641025641,0.6813118131868132,0.8858699984752337,0.698871483527457
1,4,random_forest,0.9975490196078431,0.9973404255319149,0.75,0.7315132783882785,0.7454487179487179,0.9380254729071354,0.6191710563757936
1,4,extra_trees,0.9877450980392157,0.9909301691216585,0.75,0.7769001831501832,0.7784749152247631,0.9078460236766158,0.7048760145052401
2,3,dummy,0.38082901554404147,0.3333333333333333,0.38235294117647056,0.3333333333333333,0.1843971631205674,0.5,1.0927000079319185
2,3,logistic,0.9093264248704663,0.906412368096845,0.8970588235294118,0.8902097902097902,0.8901567315889566,0.9802179402722881,0.25265287007548004
2,3,random_forest,0.9818652849740933,0.9827097505668934,0.8970588235294118,0.8970862470862472,0.8941644083107497,0.9812417654808959,0.3202894858228795
2,3,extra_trees,0.9818652849740933,0.9819955541271627,0.8529411764705882,0.8417249417249417,0.8421347982751491,0.9452359687414035,0.4066568673641695
3,2,dummy,0.5901639344262295,0.5,0.5846153846153846,0.5,0.36893203883495146,0.5,0.6788220652075635
3,2,logistic,0.9344262295081968,0.9312037037037038,0.9076923076923077,0.8942495126705653,0.9025000000000001,0.9775828460038987,0.19692366657352117
3,2,random_forest,0.9918032786885246,0.99,0.9692307692307692,0.9683235867446394,0.9683235867446394,0.9883040935672515,0.16615848298484034
3,2,extra_trees,0.9863387978142076,0.9853703703703703,0.9384615384615385,0.9366471734892787,0.9366471734892787,0.9853801169590642,0.18377820874397058
4,3,dummy,0.3864734299516908,0.3333333333333333,0.3835616438356164,0.3333333333333333,0.18481848184818483,0.5,1.0892834985858546
4,3,logistic,0.8140096618357487,0.8105340375586856,0.8493150684931506,0.8528571428571429,0.8428571428571429,0.9334426474992513,0.45342006386357186
4,3,random_forest,1.0,1.0,0.8082191780821918,0.7961904761904762,0.7999355630934577,0.9259885694319657,0.5917274435495109
4,3,extra_trees,0.9975845410628019,0.9976525821596244,0.726027397260274,0.7204761904761904,0.7245517640254482,0.8810719277228712,0.7013409125119624
5,4,dummy,0.3133971291866029,0.25,0.3150684931506849,0.25,0.11979166666666667,0.5,1.3754568400053486
5,4,logistic,0.8923444976076556,0.8940622019145048,0.863013698630137,0.8664482097186701,0.8654889912954429,0.9738785582883038,0.4742471002972924
5,4,random_forest,0.9952153110047847,0.9952826142893901,0.9452054794520548,0.9402573529411764,0.947741935483871,0.9861253196930946,0.4518903988252681
5,4,extra_trees,0.9952153110047847,0.9955663505281827,0.7123287671232876,0.708839514066496,0.6927350427350427,0.9228982903229941,0.874229613351971
6,2,dummy,0.5404040404040404,0.5,0.5428571428571428,0.5,0.35185185185185186,0.5,0.6894813175789405
6,2,logistic,0.76010101010101,0.7595511964670842,0.7142857142857143,0.712171052631579,0.712171052631579,0.7870065789473685,0.5556488626005425
6,2,random_forest,0.9924242424242424,0.9925798500564855,0.9142857142857143,0.9185855263157895,0.9142156862745098,0.9794407894736842,0.2860487786269609
6,2,extra_trees,0.9924242424242424,0.9929906542056075,0.8857142857142857,0.8848684210526316,0.8848684210526316,0.9638157894736842,0.3652846219863402
7,4,dummy,0.2896174863387978,0.25,0.2923076923076923,0.25,0.1130952380952381,0.5,1.375422652324387
7,4,logistic,0.9398907103825137,0.9407711922472248,0.8461538461538461,0.8435560053981107,0.8490990990990991,0.958564699814682,0.519266645553814
7,4,random_forest,1.0,1.0,0.8923076923076924,0.8809829059829061,0.8889601139601139,0.9780830825236214,0.4369673991343718
7,4,extra_trees,0.9972677595628415,0.997093023255814,0.8615384615384616,0.8513720197930724,0.859361614739189,0.9707280707516264,0.5097935455552041
8,3,dummy,0.3764705882352941,0.3333333333333333,0.3770491803278688,0.3333333333333333,0.18253968253968256,0.5,1.093540095580064
8,3,logistic,0.8411764705882353,0.8377976190476191,0.639344262295082,0.6377616747181966,0.6447368421052632,0.8945404633298812,0.5462468247149347
8,3,random_forest,0.9970588235294118,0.9970238095238096,0.8688524590163934,0.8694847020933977,0.8679425837320575,0.9522380618409984,0.43954663915521286
8,3,extra_trees,0.9911764705882353,0.9903571428571428,0.819672131147541,0.8102254428341386,0.8063973063973063,0.91567764354315,0.5399808264096603
9,4,dummy,0.27684964200477324,0.25,0.273972602739726,0.25,0.10752688172043011,0.5,1.3847073472269915
9,4,logistic,0.9355608591885441,0.9355121171931516,0.9041095890410958,0.9044934640522876,0.9035303190101952,0.9770262078530668,0.3695631919113366
9,4,random_forest,0.9952267303102625,0.9953195750609545,0.863013698630137,0.8642156862745098,0.866611458716722,0.9848792447224745,0.2988334506087534
9,4,extra_trees,1.0,1.0,0.863013698630137,0.8656045751633987,0.8668730650154799,0.9813097980758914,0.38287783899297867
10,4,dummy,0.43478260869565216,0.25,0.4262295081967213,0.25,0.14942528735632185,0.5,1.3016608201744297
10,4,logistic,0.7623188405797101,0.7978646934460888,0.7213114754098361,0.7243589743589745,0.7094572611653357,0.9205313228970518,0.6825238939826763
10,4,random_forest,0.9710144927536232,0.9771317829457364,0.6229508196721312,0.6205128205128205,0.6147804576376005,0.9077899721761614,0.6766332786474916
10,4,extra_trees,0.8869565217391304,0.925077519379845,0.7049180327868853,0.742948717948718,0.7116795865633075,0.9133008721883402,0.6759615953801779
11,2,dummy,0.5372750642673522,0.5,0.5362318840579711,0.5,0.3490566037735849,0.5,0.6905215675143195
11,2,logistic,0.9665809768637532,0.9658160552897395,0.9565217391304348,0.953125,0.9559293165850542,0.9974662162162162,0.09961864218019971
11,2,random_forest,0.9948586118251928,0.9948298777246145,0.9710144927536232,0.9708614864864865,0.9708614864864865,0.9932432432432433,0.13799060119669282
11,2,extra_trees,1.0,1.0,0.9420289855072463,0.9396114864864865,0.9414261460101867,0.9873310810810811,0.20979438027762656
12,3,dummy,0.40648379052369077,0.3333333333333333,0.4084507042253521,0.3333333333333333,0.19333333333333333,0.5,1.0836790204605367
12,3,logistic,0.9052369077306733,0.9075029352824219,0.9014084507042254,0.9134906231094978,0.9022333461686561,0.9828954389683894,0.27335283468152843
12,3,random_forest,0.9975062344139651,0.9979550102249489,0.9295774647887324,0.92138141455588,0.9282331511839708,0.9857806541109627,0.30157178261363665
12,3,extra_trees,1.0,1.0,0.9014084507042254,0.9044425155843131,0.9027000124424537,0.9736946822039144,0.48332335643344665
13,4,dummy,0.30714285714285716,0.25,0.3108108108108108,0.25,0.11855670103092783,0.5,1.371674187270348
13,4,logistic,0.8166666666666667,0.8288734950135355,0.6756756756756757,0.6889492753623188,0.6718574251405989,0.9010805784206324,0.630921183081541
13,4,random_forest,0.9952380952380953,0.9958097632516237,0.8243243243243243,0.8248188405797101,0.8236539060068471,0.9585074323194833,0.4795939059707003
13,4,extra_trees,0.9952380952380953,0.9954954954954955,0.7702702702702703,0.7658967391304348,0.7639135254988914,0.9200073528477536,0.6383947760092961
14,2,dummy,0.5121293800539084,0.5,0.5151515151515151,0.5,0.34,0.5,0.6927062526989054
14,2,logistic,0.954177897574124,0.9538237859842977,0.9393939393939394,0.9393382352941176,0.9393382352941176,0.9917279411764706,0.1495733486123999
14,2,random_forest,0.9838274932614556,0.9838179703402152,0.9393939393939394,0.9384191176470589,0.9391705069124423,0.9806985294117647,0.23059920773330495
14,2,extra_trees,0.9838274932614556,0.9840796743239314,0.8939393939393939,0.8943014705882353,0.8939150401836969,0.958639705882353,0.3180428038608329
15,2,dummy,0.5349462365591398,0.5,0.5303030303030303,0.5,0.3465346534653465,0.5,0.6913528195036257
15,2,logistic,0.956989247311828,0.9556452784151974,0.8939393939393939,0.8907834101382488,0.8927327606222428,0.9880184331797235,0.17965785690533254
15,2,random_forest,1.0,1.0,0.9393939393939394,0.9373271889400921,0.9388888888888889,0.9898617511520738,0.18522011147411777
15,2,extra_trees,1.0,1.0,0.9242424242424242,0.9211981566820276,0.923380543301602,0.9852534562211982,0.2903279176185715
16,3,dummy,0.41534391534391535,0.3333333333333333,0.417910447761194,0.3333333333333333,0.1964912280701754,0.5,1.082970794050231
16,3,logistic,0.9365079365079365,0.9413275996300613,0.8805970149253731,0.8783208020050125,0.8833369178196765,0.9494967300958342,0.3990421767243424
16,3,random_forest,1.0,1.0,0.8656716417910447,0.8664160401002506,0.8696809775115294,0.9631287711914812,0.4149622959945607
16,3,extra_trees,1.0,1.0,0.8507462686567164,0.8601503759398496,0.8548861556991638,0.954831842289849,0.5534233006827627
17,2,dummy,0.5228426395939086,0.5,0.5217391304347826,0.5,0.34285714285714286,0.5,0.6922041433586116
17,2,logistic,0.9771573604060914,0.9774581697996282,0.9420289855072463,0.9431818181818181,0.9420168067226891,0.9907407407407407,0.13264094688218236
17,2,random_forest,0.9974619289340102,0.9973404255319149,0.927536231884058,0.928030303030303,0.9274752995585454,0.9856902356902356,0.14560475500230372
17,2,extra_trees,0.9974619289340102,0.9975728155339806,0.927536231884058,0.928030303030303,0.9274752995585454,0.9806397306397305,0.19318789903070605
18,4,dummy,0.29846938775510207,0.25,0.3,0.25,0.11538461538461539,0.5,1.3746496387427067
18,4,logistic,0.5612244897959183,0.5613983922577798,0.5,0.49639724310776945,0.48933482354534985,0.7616642913431036,1.0810919689655276
18,4,random_forest,0.9948979591836735,0.993421052631579,0.8571428571428571,0.847470238095238,0.8465589312648136,0.9669189861617162,0.559063429457801
18,4,extra_trees,0.9974489795918368,0.9978632478632479,0.7714285714285715,0.762374686716792,0.7642572062084256,0.9307864279797131,0.7148919913429662
19,4,dummy,0.3380281690140845,0.25,0.34210526315789475,0.25,0.12745098039215685,0.5,1.3264008679199015
19,4,logistic,0.8802816901408451,0.8959395706389638,0.7894736842105263,0.815,0.8042878560719641,0.951642858265101,0.5158373306593228
19,4,random_forest,0.9882629107981221,0.9912086288416075,0.8552631578947368,0.8490384615384616,0.8539150943396226,0.9731664192119155,0.425311741903148
19,4,extra_trees,0.9765258215962441,0.9823803191489362,0.7631578947368421,0.7821794871794873,0.7783861236802413,0.9594404071724844,0.4866145057281609
20,2,dummy,0.538083538083538,0.5,0.5416666666666666,0.5,0.35135135135135137,0.5,0.6896967654949305
20,2,logistic,0.9262899262899262,0.9251068687457495,0.9166666666666666,0.916083916083916,0.916083916083916,0.9743589743589743,0.24609808427217786
20,2,random_forest,0.9901719901719902,0.9908675799086758,0.9166666666666666,0.9207459207459208,0.9166023166023166,0.9611499611499612,0.25372350034674385
20,2,extra_trees,0.972972972972973,0.971874089186826,0.9166666666666666,0.916083916083916,0.916083916083916,0.9564879564879565,0.2871347481422482
21,4,dummy,0.36578947368421055,0.25,0.3582089552238806,0.25,0.13186813186813187,0.5,1.3474456048787569
21,4,logistic,0.7552631578947369,0.7683167069583199,0.582089552238806,0.6052350427350428,0.5867026397122156,0.8919516975580098,0.8000162890139674
21,4,random_forest,0.9921052631578947,0.9931134040136311,0.746268656716418,0.7251602564102565,0.7305072463768116,0.9523039176278378,0.5990266247710996
21,4,extra_trees,0.9631578947368421,0.9726277925028399,0.6417910447761194,0.6487713675213675,0.6406707127295364,0.8762760211057552,0.8352474658829739
22,2,dummy,0.5697399527186762,0.5,0.5675675675675675,0.5,0.3620689655172414,0.5,0.6839980548156702
22,2,logistic,0.9479905437352246,0.948976334868451,0.9324324324324325,0.921875,0.9295372310036183,0.9970238095238095,0.137258101150408
22,2,random_forest,0.9905437352245863,0.9903561169121335,0.9459459459459459,0.9375,0.943939393939394,0.9940476190476191,0.17983272811087395
22,2,extra_trees,0.9929078014184397,0.9937759336099585,0.9324324324324325,0.921875,0.9295372310036183,0.9836309523809523,0.23027721356632422
23,3,dummy,0.39705882352941174,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.18666666666666668,0.5,1.0894778294308887
23,3,logistic,0.9142156862745098,0.9181537094128306,0.7777777777777778,0.7813492063492063,0.789066870073735,0.9415728368853369,0.4057467406961524
23,3,random_forest,0.9975490196078431,0.9979423868312757,0.9027777777777778,0.9011904761904762,0.9074471248442056,0.9874676827801828,0.36140860911235617
23,3,extra_trees,1.0,1.0,0.875,0.8793650793650793,0.8821590518184945,0.9771003302253302,0.47196086096305706
24,2,dummy,0.5898123324396782,0.5,0.5909090909090909,0.5,0.37142857142857144,0.5,0.6765284471386964
24,2,logistic,0.9624664879356568,0.9642008318478907,0.9090909090909091,0.905982905982906,0.905982905982906,0.9753086419753086,0.1969794177311727
24,2,random_forest,0.9919571045576407,0.9911913250148545,0.8939393939393939,0.8874643874643875,0.889658466682589,0.9648622981956315,0.26805051392060897
24,2,extra_trees,0.9946380697050938,0.9954545454545455,0.8636363636363636,0.8675213675213675,0.8610526315789473,0.9468186134852801,0.32004287680209154
25,2,dummy,0.5868421052631579,0.5,0.582089552238806,0.5,0.36792452830188677,0.5,0.6796551088891291
25,2,logistic,0.9368421052631579,0.9377052926223187,0.9402985074626866,0.9336080586080586,0.9379629629629629,0.9844322344322345,0.14657096834290786
25,2,random_forest,0.9973684210526316,0.9968152866242038,0.9552238805970149,0.9514652014652014,0.9537399309551209,0.9963369963369964,0.12055437515632006
25,2,extra_trees,1.0,1.0,0.9402985074626866,0.9285714285714286,0.9371482176360225,0.9935897435897435,0.17057306021264543
26,3,dummy,0.4406779661016949,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.20512820512820515,0.5,1.0702047425554877
26,3,logistic,0.827683615819209,0.8462523139942495,0.746031746031746,0.7691102756892231,0.7552790346907994,0.9030621334352738,0.5425655120169494
26,3,random_forest,0.9887005649717514,0.9914529914529915,0.873015873015873,0.8619987468671679,0.8755294884327142,0.9548112648296619,0.43448873468742266
26,3,extra_trees,0.9915254237288136,0.9935897435897436,0.7301587301587301,0.7515664160401002,0.7386957960940087,0.9185524861476709,0.5810318514192329
27,4,dummy,0.29009433962264153,0.25,0.2972972972972973,0.25,0.11458333333333333,0.5,1.3796742589058277
27,4,logistic,0.5377358490566038,0.5281425891181989,0.5540540540540541,0.5378787878787878,0.5368068603362721,0.8387764653928447,0.884961749003715
27,4,random_forest,0.9882075471698113,0.9880952380952381,0.8648648648648649,0.8619002525252525,0.8621527777777778,0.957333853885578,0.49280096880886454
27,4,extra_trees,0.9386792452830188,0.938425801840436,0.7027027027027027,0.6925505050505051,0.694047619047619,0.9151835652374446,0.6850943998360514
28,2,dummy,0.5561097256857855,0.5,0.5571428571428572,0.5,0.3577981651376147,0.5,0.6866044395065797
28,2,logistic,0.9177057356608479,0.9152390789539981,0.8428571428571429,0.8424317617866005,0.8412698412698412,0.9288668320926385,0.33387178176898075
28,2,random_forest,0.9950124688279302,0.9949488587695874,0.9,0.9036393713813069,0.8994871794871795,0.9644334160463193,0.26481587163516274
28,2,extra_trees,0.9800498753117207,0.9797954350783493,0.9142857142857143,0.9164598842018197,0.9136513157894737,0.9702233250620348,0.2496010897410819
29,2,dummy,0.5756756756756757,0.5,0.5757575757575758,0.5,0.36538461538461536,0.5,0.6816244473547736
29,2,logistic,0.9351351351351351,0.9361263120122005,0.9393939393939394,0.9379699248120301,0.9379699248120301,0.9755639097744361,0.21176624207622835
29,2,random_forest,0.9972972972972973,0.9968152866242038,0.9545454545454546,0.9511278195488722,0.9532467532467532,0.9962406015037594,0.1601779408813636
29,2,extra_trees,0.9972972972972973,0.9976525821596245,0.9393939393939394,0.9332706766917294,0.9373219373219372,0.987781954887218,0.20549836082080303
30,4,dummy,0.29829545454545453,0.25,0.29508196721311475,0.25,0.11392405063291139,0.5,1.3785083296341976
30,4,logistic,0.8380681818181818,0.840812576561862,0.8524590163934426,0.8475656288156288,0.8503267973856209,0.9615558253871589,0.444638676423898
30,4,random_forest,0.9857954545454546,0.9862211981566821,0.8688524590163934,0.8717757936507936,0.869485153256705,0.9728073350243687,0.44748342409124575
30,4,extra_trees,0.9829545454545454,0.9844854070660523,0.7868852459016393,0.7895489926739927,0.7890734901770555,0.9610064881171388,0.5463084491758391
31,4,dummy,0.33819241982507287,0.25,0.3442622950819672,0.25,0.12804878048780488,0.5,1.361561595351627
31,4,logistic,0.7871720116618076,0.7820065062030424,0.6721311475409836,0.652014652014652,0.6395663956639566,0.883755019566355,0.8104358519420093
31,4,random_forest,0.9883381924198251,0.9893914344197764,0.8360655737704918,0.833562271062271,0.8389778096299836,0.966603317748504,0.5070752028046385
31,4,extra_trees,0.9650145772594753,0.9691371026304472,0.7377049180327869,0.7442765567765568,0.7402123590982286,0.9377218278615794,0.6527370436761372
32,4,dummy,0.40759493670886077,0.25,0.4117647058823529,0.25,0.14583333333333334,0.5,1.305355644983251
32,4,logistic,0.8379746835443038,0.8608902677355819,0.7941176470588235,0.8279761904761904,0.8030657181571815,0.9506941023535851,0.5126316816751706
32,4,random_forest,0.9924050632911392,0.9935928360369053,0.8529411764705882,0.8797619047619047,0.8622796811032105,0.9591091954022988,0.5443528045859838
32,4,extra_trees,0.9620253164556962,0.9732105167943075,0.75,0.8023809523809524,0.7602780242531796,0.941942562944718,0.6661473888487747
