table_id,num_classes,n_total,n_train,n_test,num_features,num_continuous,num_categorical,missing_rate,rf_balanced_accuracy,spearman_gt_single,spearman_gt_permutation,spearman_gt_drop_column,topk_gt_single,topk_gt_permutation,topk_gt_drop_column
0,2,401,341,60,8,6,2,0.05361596009975062,0.850389321468298,0.7545045450053531,0.9047619047619048,0.48196269271187986,0.8,1.0,0.8
1,4,480,408,72,13,9,4,0.047435897435897434,0.7315132783882785,0.7252747252747254,0.8186813186813187,0.6263736263736264,0.6,1.0,0.8
2,3,454,386,68,14,10,4,0.04971680302076778,0.8970862470862472,0.4945054945054946,-0.032967032967032975,0.295013503136665,0.6,0.4,0.6
3,2,431,366,65,13,10,3,0.04640371229698376,0.9683235867446394,0.8473185457363234,0.46153846153846156,0.34069257193462343,0.8,0.4,0.4
4,3,487,414,73,11,9,2,0.04853462759006907,0.7961904761904762,0.6363636363636364,0.7454545454545456,0.7990950887101406,0.8,1.0,1.0
5,4,491,418,73,11,7,4,0.05313830772079245,0.9402573529411764,0.20000000000000004,0.6855400807114439,0.0,0.4,0.8,0.2
6,2,466,396,70,14,9,5,0.053494788473329245,0.9185855263157895,0.7582417582417583,0.36963718737166845,0.3095565011499109,1.0,0.6,0.6
7,4,431,366,65,12,9,3,0.04737045630317092,0.8809829059829061,0.8951048951048951,0.8684648962222978,0.29004551352481495,0.8,1.0,0.6
8,3,401,340,61,12,7,5,0.04800498753117207,0.8694847020933977,0.5244755244755246,0.6993006993006995,0.535902748278835,0.8,0.8,0.8
9,4,492,419,73,12,11,1,0.05064363143631436,0.8642156862745098,0.8181818181818183,-0.20979020979020982,-0.2705054594790764,0.8,0.4,0.2
10,4,406,345,61,11,5,6,0.048589341692789965,0.6205128205128205,0.7363636363636363,0.6818181818181819,-0.5570834332722122,0.8,0.8,0.2
11,2,458,389,69,14,9,5,0.051154086088583905,0.9708614864864865,0.8857142857142857,0.7278921389238545,0.38476723106629784,0.8,0.6,0.4
12,3,472,401,71,12,10,2,0.050494350282485875,0.92138141455588,0.34965034965034975,0.5174825174825175,0.568447769925142,0.6,0.6,0.8
13,4,494,420,74,12,6,6,0.04959514170040486,0.8248188405797101,0.8041958041958043,0.6923076923076924,0.7014029150338325,0.8,0.8,0.6
14,2,437,371,66,11,6,5,0.05263157894736842,0.9384191176470589,0.7545454545454545,0.690909090909091,0.025482359571881278,0.8,0.8,0.4
15,2,438,372,66,11,7,4,0.04711498547114985,0.9373271889400921,0.22323520331332058,0.37905238362839516,0.4000000000000001,0.6,0.6,0.6
16,3,445,378,67,16,10,6,0.04915730337078652,0.8664160401002506,0.3529411764705882,0.8653423976267326,0.5328449561332906,0.4,0.8,0.6
17,2,463,394,69,14,10,4,0.05075593952483801,0.928030303030303,0.4945054945054946,0.13054557211087245,0.021420073085414052,0.8,0.4,0.6
18,4,462,392,70,12,9,3,0.055014430014430016,0.847470238095238,0.1258741258741259,0.6573426573426573,0.588449314154753,0.4,0.8,0.4
19,4,502,426,76,15,9,6,0.04953519256308101,0.8490384615384616,0.6464285714285712,0.42857142857142855,-0.0626119069830759,0.8,0.6,0.4
20,2,479,407,72,9,5,4,0.046856877754581305,0.9207459207459208,0.7531446678801508,0.8333333333333333,0.8616843969807043,0.8,0.8,0.8
21,4,447,380,67,14,9,5,0.04953659316075423,0.7251602564102565,0.6087912087912088,0.3186813186813187,0.22355833229062294,0.6,0.4,0.4
22,2,497,423,74,15,8,7,0.04681421864520456,0.9375,0.4928571428571427,0.5082231953842038,0.12073632210407377,0.6,0.8,0.4
23,3,480,408,72,16,12,4,0.04700520833333333,0.9011904761904762,0.7637971162725751,0.37058823529411766,0.34929263890552126,0.8,0.2,0.2
24,2,439,373,66,16,12,4,0.04783599088838269,0.8874643874643875,0.5117647058823529,-0.050307998477632836,0.17417380108263067,0.6,0.4,0.4
25,2,447,380,67,16,10,6,0.04670022371364653,0.9514652014652014,0.23823529411764705,0.6834919598082213,-0.04455663943395035,0.6,1.0,0.2
26,3,417,354,63,13,7,6,0.04648588821250692,0.8619987468671679,0.7747252747252747,0.13204964349137507,0.11174753906691855,1.0,0.8,0.6
27,4,498,424,74,8,5,3,0.04241967871485944,0.8619002525252525,0.8333333333333335,0.8571428571428572,0.6904761904761906,0.8,0.8,0.8
28,2,471,401,70,13,8,5,0.04964886493548914,0.9036393713813069,0.21428571428571427,0.2087912087912088,0.14048491419124495,0.6,0.6,0.6
29,2,436,370,66,16,11,5,0.0507454128440367,0.9511278195488722,0.6794117647058824,0.47373367997656607,0.3371044452129119,1.0,0.8,0.6
30,4,413,352,61,12,7,5,0.05084745762711865,0.8717757936507936,0.7762237762237763,0.8873459471570384,0.33874605160231785,0.8,0.8,0.6
