table_id,num_classes,n_total,n_train,n_test,num_features,num_continuous,num_categorical,missing_rate,rf_balanced_accuracy,spearman_gt_single,spearman_gt_permutation,spearman_gt_drop_column,topk_gt_single,topk_gt_permutation,topk_gt_drop_column
0,2,401,341,60,8,5,3,0.05236907730673317,0.8958333333333334,0.6904761904761906,0.3333333333333334,0.51234753829798,0.8,0.8,0.6
1,4,480,409,71,13,12,1,0.04823717948717949,0.8851010101010102,0.7417582417582418,0.5934065934065934,-0.16153769450469616,0.8,0.6,0.4
2,3,454,386,68,14,12,2,0.050975456261799876,0.8272792022792023,0.2879120879120879,0.5428571428571429,0.1637204203050615,0.6,0.6,0.4
3,2,431,367,64,13,12,1,0.0480099946457255,1.0,0.5199454712472893,0.6836606647876081,0.4558423058385518,0.8,0.6,0.4
4,3,487,414,73,11,7,4,0.04853462759006907,0.920952380952381,0.39090909090909093,0.7363636363636363,0.6590491593140252,0.8,0.8,0.6
5,4,491,418,73,11,7,4,0.0533234586187743,0.8579545454545455,0.8909090909090911,0.6378148666094873,0.7431505414602932,1.0,0.8,0.8
6,2,466,396,70,14,11,3,0.049049662783568364,0.9852941176470589,0.9273150248310408,0.46499587763889494,-0.3143301111942965,0.8,0.6,0.2
7,4,431,366,65,12,10,2,0.049303944315545245,0.9154761904761904,0.6713286713286714,0.3327500724607145,0.7671594383182543,0.4,0.4,0.8
8,3,401,341,60,12,11,1,0.04821280133000831,0.8882575757575758,0.37762237762237766,0.364914527027702,0.3400046276937225,0.6,0.4,0.6
9,4,492,418,74,12,6,6,0.049627371273712736,0.609018759018759,0.7482517482517484,0.5594405594405596,0.7915949092223313,0.6,0.8,1.0
10,4,406,345,61,11,7,4,0.047021943573667714,0.8143539467068879,0.17272727272727276,0.6272727272727273,0.3280190742563078,0.6,0.8,0.6
11,2,458,390,68,14,10,4,0.05131004366812227,0.9821428571428572,0.3934065934065934,0.3803741220202762,0.28829998806257884,0.6,0.6,0.6
12,3,472,402,70,12,10,2,0.04961158192090395,0.8818303811057434,0.3636363636363637,0.46153846153846156,0.38528955758609046,0.6,0.4,0.8
13,4,494,420,74,12,10,2,0.04807692307692308,0.7168040293040293,0.6713286713286714,0.4125874125874127,0.4833632631534589,0.6,0.8,0.6
14,2,437,372,65,11,7,4,0.05055127938423133,0.889367816091954,0.44545454545454555,0.22323520331332058,0.6059611201076213,0.6,0.6,0.6
15,2,438,372,66,11,6,5,0.05147364051473641,0.8787878787878788,0.5558100980454104,0.8234785262026467,0.5163977794943223,0.6,0.8,0.8
16,3,445,379,66,16,7,9,0.04719101123595506,0.7776482776482777,0.7352941176470589,0.5994115484434935,-0.1155629467181418,0.4,0.6,0.2
17,2,463,394,69,14,9,5,0.051064486269669855,0.9838709677419355,0.8021978021978022,0.1351267900940369,0.09376144618769909,1.0,0.4,0.4
18,4,462,393,69,12,11,1,0.055014430014430016,0.8849264705882353,0.7622377622377624,0.1398601398601399,0.3901635952087504,0.8,0.6,0.4
19,4,502,427,75,15,11,4,0.047675962815405044,0.7811090225563908,0.5607142857142856,0.7107142857142856,0.5892857142857142,1.0,0.6,0.6
20,2,479,407,72,9,8,1,0.047088842495940614,0.9538893344025661,0.48333333333333334,0.772315083521806,0.5477225575051661,0.6,0.8,0.8
21,4,447,381,66,14,12,2,0.05129434324065196,0.7847222222222221,0.5912087912087912,0.5686829326461597,0.2009766825642974,0.8,1.0,0.4
22,2,497,423,74,15,8,7,0.047082494969818915,0.8925438596491229,0.5285714285714286,-0.4021449326983562,-0.34744731423494174,0.6,0.2,0.2
23,3,480,408,72,16,9,7,0.049609375,0.9199999999999999,0.44117647058823534,0.6647058823529411,0.6470170564486508,0.4,0.8,0.6
24,2,439,373,66,16,11,5,0.04968678815489749,0.984375,0.44117647058823534,0.0772782758605296,0.2684377460965796,0.8,0.6,0.4
25,2,447,380,67,16,12,4,0.05103467561521253,0.9272321428571428,0.28718735121985567,0.13048637105136016,0.3060802527234752,0.4,0.4,0.6
26,3,417,354,63,13,11,2,0.04740822726434237,0.8801129426129427,0.6208791208791209,0.8335633745393052,0.8547922250928695,0.4,0.8,1.0
27,4,498,424,74,8,4,4,0.05120481927710843,0.888888888888889,0.6190476190476191,0.6904761904761906,0.8263621207201486,0.8,0.8,1.0
28,2,471,401,70,13,10,3,0.04899559039686428,0.9387923904052936,0.22527472527472525,0.43017566237874916,-0.06625429878146331,0.6,0.6,0.4
29,2,436,370,66,16,11,5,0.05318233944954128,0.7748161764705883,0.6058823529411764,0.17941176470588235,0.19407939868480184,0.6,0.4,0.2
30,4,413,351,62,12,10,2,0.050242130750605324,0.8717171717171717,0.7622377622377624,0.5734265734265735,0.055944055944055944,1.0,0.6,0.4
31,4,404,342,62,13,9,4,0.0456968773800457,0.8420454545454545,0.5714285714285714,0.7527472527472527,0.5145351257840574,0.4,0.8,0.6
32,4,463,394,69,16,10,6,0.048056155507559394,0.9704861111111112,0.5264705882352941,0.5910885751294369,,0.6,0.4,0.4
33,4,412,351,61,15,13,2,0.05048543689320388,0.5379273504273504,0.6428571428571428,0.691760715837011,0.17133394690929782,0.6,0.8,0.4
34,4,504,428,76,12,7,5,0.048445767195767195,0.872927807486631,0.8671328671328673,0.32867132867132864,-0.185418891403374,1.0,0.8,0.4
35,2,400,340,60,15,11,4,0.0505,1.0,0.6541557571893262,0.3650620956507503,,0.6,0.6,0.2
36,4,448,381,67,12,8,4,0.04780505952380952,0.7070494864612511,0.49650349650349657,0.3426573426573427,-0.05674329723370735,0.8,0.6,0.2
37,3,403,343,60,11,10,1,0.05346266636589217,0.8492822966507177,0.4272727272727273,0.6818181818181819,0.5963553727767786,0.8,0.8,0.8
38,2,401,340,61,9,6,3,0.04821280133000831,0.9848484848484849,0.8833333333333333,0.7432160053315857,0.4107919181288746,1.0,0.8,0.6
39,3,452,384,68,16,12,4,0.047428097345132744,0.9166666666666666,0.6961002620364701,-0.15,0.06779076806833005,0.8,0.0,0.4
40,2,490,417,73,10,8,2,0.05,0.9302325581395349,0.8060606060606059,0.6079055436800646,0.31333978072025614,0.8,0.8,0.6
41,2,451,384,67,16,11,5,0.05072062084257206,0.9642857142857143,0.9235294117647058,0.7829308840700878,-0.03924891816559383,0.8,0.6,0.2
42,3,452,385,67,13,7,6,0.05411844792375766,0.8581699346405228,0.5494505494505494,0.17981066223636413,0.3290582665836403,0.6,0.4,0.6
43,4,434,368,66,11,10,1,0.05194805194805195,0.8625816993464053,0.8727272727272729,0.4000000000000001,0.3653006119817785,0.8,0.6,0.6
44,4,408,347,61,13,10,3,0.051470588235294115,0.776366930171278,0.19780219780219782,-0.09890109890109891,-0.5584599505989404,0.2,0.2,0.0
45,3,468,397,71,13,9,4,0.05325443786982249,0.7911180773249739,0.32967032967032966,0.39614893047412525,0.10000617341112421,0.4,0.6,0.4
46,4,426,363,63,9,4,5,0.05268648930620762,0.9063311688311688,0.41666666666666663,0.8833333333333333,0.3096261412396175,0.8,1.0,0.6
47,2,426,362,64,16,13,3,0.05369718309859155,0.9291497975708503,0.38823529411764707,0.16868942427557737,0.25854384499750954,0.8,0.4,0.2
48,4,501,425,76,8,5,3,0.046656686626746505,0.7947290100250626,0.3333333333333334,0.30952380952380953,-0.12198750911856665,0.8,0.8,0.6
49,2,465,395,70,10,7,3,0.05956989247311828,0.8586601307189543,0.7333333333333332,0.29696969696969694,0.5000092953216654,0.6,0.4,0.6
50,2,456,387,69,8,8,0,0.04824561403508772,0.9396114864864865,0.880952380952381,0.8571428571428572,0.24098134635593993,1.0,1.0,0.8
51,3,436,371,65,8,4,4,0.04472477064220184,0.8370098039215685,0.5952380952380953,0.6428571428571429,0.19278507708475198,0.8,0.8,0.6
52,3,495,421,74,8,4,4,0.04671717171717172,0.8425966877979262,0.9761904761904763,0.7619047619047621,0.07319250547113999,1.0,1.0,0.6
53,2,406,345,61,10,9,1,0.04827586206896552,0.9322222222222223,0.7818181818181817,0.6565379871744698,0.26598713925518697,1.0,0.8,0.6
54,4,474,403,71,10,8,2,0.05147679324894515,0.7597830668317483,0.6484848484848483,0.709090909090909,-0.18787878787878787,0.8,0.8,0.6
55,3,494,419,75,12,8,4,0.05043859649122807,0.9576923076923077,0.7762237762237763,0.7323649216501578,0.27536845620215866,0.8,0.8,0.4
56,3,434,369,65,9,7,2,0.048131080389144903,0.8630952380952381,0.5666666666666667,0.25941649671427414,0.4107919181288746,1.0,0.8,0.8
57,3,413,351,62,10,7,3,0.048184019370460046,0.8490079365079365,0.2121212121212121,0.7333333333333332,0.3404271044608361,0.6,1.0,0.8
58,3,434,370,64,13,9,4,0.05707196029776675,0.8602941176470589,0.12637362637362637,0.4869330603744456,0.3939590263139565,0.4,0.6,0.4
59,2,421,358,63,12,7,5,0.04691211401425178,0.9705882352941176,0.4895104895104896,0.21517591504290953,-0.05979941040729745,0.4,0.2,0.2
60,2,508,432,76,16,12,4,0.05019685039370079,0.961111111111111,0.27941176470588236,0.12103403435714635,0.0,0.2,0.4,0.4
61,3,450,382,68,14,10,4,0.049523809523809526,0.8293795093795094,0.8065934065934066,0.7172721612093091,0.31568121750145756,1.0,0.8,0.4
62,4,507,431,76,13,10,3,0.04809588833257472,0.8011363636363635,0.6850075256115082,0.6217337381052244,0.30408041788078843,1.0,0.8,0.6
63,2,472,402,70,10,10,0,0.04809322033898305,0.8958333333333334,0.5151515151515151,0.13939393939393938,0.1447571914761275,0.6,0.4,0.6
64,2,504,428,76,11,7,4,0.04599567099567099,1.0,0.8272727272727273,0.674199862463242,,0.8,0.6,0.6
65,4,447,380,67,9,8,1,0.05418841660452399,0.6903679653679653,0.5833333333333334,0.43333333333333335,0.35598333940092547,0.6,0.6,0.6
66,3,492,418,74,8,7,1,0.049796747967479675,0.8817999906929127,0.4047619047619048,0.8742671711966791,0.34372003129816553,0.8,1.0,0.8
67,2,481,409,72,12,10,2,0.05422730422730423,1.0,0.6923076923076924,0.7746670967243986,0.47502883742369134,1.0,0.8,0.6
68,4,431,366,65,15,10,5,0.05088940448569219,0.8678571428571429,0.7642857142857141,0.5285714285714286,-0.05745146167579105,0.6,0.4,0.2
69,4,418,355,63,9,8,1,0.050239234449760764,0.6628319597069597,0.11666666666666665,0.5166666666666667,0.19328413556768415,0.8,0.6,0.6
70,2,487,414,73,16,11,5,0.05094969199178645,0.9100775193798449,0.7588235294117647,0.461995765290083,0.3596034047758356,0.6,0.6,0.4
